iter	MultiClass
0	1.039453357
1	0.9846328339
2	0.9360223452
3	0.8904695198
4	0.8518933239
5	0.8170191144
6	0.7855936572
7	0.7562282738
8	0.7280377708
9	0.7036005286
10	0.6814818958
11	0.6610716493
12	0.6426497469
13	0.6255792202
14	0.6077331273
15	0.5929714301
16	0.5782623178
17	0.5651915642
18	0.5523433344
19	0.5405973544
20	0.5300631109
21	0.5196590953
22	0.5097181585
23	0.5004555969
24	0.4916053045
25	0.4842768519
26	0.4770721388
27	0.4701075496
28	0.4632577981
29	0.4566587128
30	0.4500083038
31	0.4447298648
32	0.4395008583
33	0.4345055945
34	0.4292834284
35	0.424136738
36	0.4200361034
37	0.416069058
38	0.4124878283
39	0.4086216947
40	0.4050574158
41	0.4014554912
42	0.3984644465
43	0.3956954916
44	0.3928602175
45	0.3898341447
46	0.3872558484
47	0.3848112877
48	0.3828246798
49	0.3803774766
50	0.3781860585
51	0.376202621
52	0.3741834396
53	0.3723245305
54	0.370433973
55	0.3684229617
56	0.3665946186
57	0.3646270469
58	0.3629225359
59	0.361142741
60	0.3596722132
61	0.3582631625
62	0.3564354927
63	0.3549712474
64	0.3535786273
65	0.3523171585
66	0.3510476153
67	0.3500628556
68	0.3486539081
69	0.3476592228
70	0.3465695935
71	0.3457794547
72	0.3449628241
73	0.3441806646
74	0.3427352045
75	0.3417389589
76	0.3404717894
77	0.3391405282
78	0.3385009773
79	0.3377537685
80	0.3370599317
81	0.3358607025
82	0.3352650093
83	0.3345581945
84	0.3337643566
85	0.3330741945
86	0.332645737
87	0.3320946497
88	0.3313835891
89	0.3309198458
90	0.330538376
91	0.3297098085
92	0.3291584094
93	0.3286033012
94	0.3279421856
95	0.3273312888
96	0.3269235078
97	0.3261631467
98	0.3256299482
99	0.3249828791
100	0.3245665596
101	0.3240387843
102	0.323331286
103	0.3230816818
104	0.3227863484
105	0.3223781329
106	0.3217887683
107	0.3214667005
108	0.3209297742
109	0.3206114654
110	0.3202581584
111	0.3198699516
112	0.3196123448
113	0.3193453258
114	0.3187739067
115	0.318486889
116	0.318214823
117	0.3175902447
118	0.3172724605
119	0.3170796998
120	0.3166736651
121	0.3164104269
122	0.3161789214
123	0.3159509424
124	0.3156380443
125	0.3154547098
126	0.3153254117
127	0.3149555294
128	0.3145766531
129	0.3141027508
130	0.3137084569
131	0.3134062442
132	0.3130450545
133	0.3127904293
134	0.3125189659
135	0.3120394847
136	0.3116664209
137	0.3115089229
138	0.311204853
139	0.3106952818
140	0.3101160711
141	0.3099643278
142	0.3096675642
143	0.309409466
144	0.3093349172
145	0.3089972581
146	0.308742972
147	0.3085031699
148	0.3082041705
149	0.3079932954
150	0.3076714088
151	0.3072326668
152	0.3069920483
153	0.3068475592
154	0.3066010041
155	0.30627053
156	0.3060150988
157	0.3056996295
158	0.3053569628
159	0.3049966238
160	0.3046644333
161	0.3043907255
162	0.3041780239
163	0.3037731023
164	0.3034830609
165	0.3031913087
166	0.3030183174
167	0.3025765784
168	0.302405965
169	0.302254762
170	0.3019227905
171	0.3017523495
172	0.3015526461
173	0.3013909324
174	0.3008838649
175	0.3006483413
176	0.3003741282
177	0.3002784753
178	0.3000228628
179	0.2997655946
180	0.2994477948
181	0.2991997454
182	0.2989107429
183	0.2986042247
184	0.2984745166
185	0.2981607318
186	0.2980067372
187	0.2978898693
188	0.2976936359
189	0.2974502569
190	0.2972926999
191	0.2970398091
192	0.2967295348
193	0.2965932139
194	0.2962604749
195	0.2960190679
196	0.2959060806
197	0.2954497845
198	0.2952051884
199	0.2950599927
