iter	Passed	Remaining
0	311	467206
1	737	552227
2	1064	531021
3	1478	553031
4	1855	554762
5	2220	552931
6	2585	551489
7	2940	548417
8	3299	546564
9	3608	537614
10	3959	535988
11	4331	537164
12	4710	538798
13	5051	536131
14	5396	534241
15	5730	531492
16	6078	530220
17	6475	533161
18	6893	537338
19	7136	528133
20	7526	530105
21	7876	529158
22	8235	528838
23	8503	522958
24	8939	527447
25	9251	524498
26	9591	523253
27	9913	521140
28	10290	521960
29	10632	520993
30	11046	523457
31	11320	519337
32	11639	517419
33	11990	516982
34	12333	516237
35	12713	516996
36	13099	517978
37	13465	518067
38	13831	518142
39	14222	519119
40	14720	523843
41	15085	523672
42	15434	522984
43	15814	523318
44	16165	522669
45	16580	524083
46	16908	522731
47	17125	518045
48	17501	518249
49	17857	517863
50	18232	518005
51	18627	518690
52	19016	519180
53	19396	519406
54	19777	519599
55	20113	518630
56	20445	517594
57	20780	516657
58	21136	516240
59	21441	514586
60	21780	513806
61	22127	513204
62	22451	512100
63	22864	513025
64	23201	512214
65	23547	511624
66	23896	511098
67	24256	510814
68	24632	510859
69	25050	511750
70	25198	507164
71	25565	507049
72	25705	502483
73	26052	502037
74	26417	501928
75	26818	502491
76	27175	502215
77	27606	503281
78	27962	502970
79	28348	503192
80	28759	503815
81	29162	504306
82	29537	504276
83	29923	504423
84	30257	503699
85	30601	503150
86	30982	503203
87	31362	503219
88	31722	502921
89	32111	503074
90	32522	503569
91	32909	503663
92	33269	503335
93	33672	503660
94	33900	501367
95	34277	501303
96	34681	501627
97	35066	501667
98	35448	501646
99	35799	501193
100	36171	501034
101	36546	500908
102	36958	501270
103	37362	501514
104	37785	502007
105	37900	498424
106	38289	498476
107	38702	498834
108	38862	495939
109	39241	495863
110	39561	495051
111	39978	495448
112	40316	494859
113	40674	494519
114	41097	494958
115	41241	492057
116	41594	491664
117	41989	491777
118	42389	491935
119	42758	491717
120	43080	490975
121	43426	490507
122	43645	488617
123	43948	487687
124	44291	487205
125	44611	486483
126	44971	486190
127	45325	485827
128	45672	485405
129	45999	484766
130	46341	484290
131	46736	484365
132	47112	484231
133	47503	484247
134	47909	484414
135	48290	484326
136	48653	484049
137	49069	484293
138	49452	484212
139	49808	483852
140	50207	483915
141	50605	483958
142	50711	481228
143	51083	481039
144	51183	478300
145	51524	477835
146	51911	477801
147	52298	477753
148	52656	477445
149	53037	477333
150	53213	475394
151	53566	475053
152	53957	475033
153	54064	472533
154	54398	472042
155	54781	471965
156	55160	471852
157	55574	472030
158	55944	471836
159	56044	469373
160	56318	468390
161	56402	465842
162	56746	465461
163	57137	465462
164	57271	463379
165	57657	463340
166	58054	463391
167	58442	463369
168	58817	463233
169	59180	463000
170	59576	463026
171	59679	460778
172	60021	460396
173	60411	460374
174	60718	459725
175	61161	460103
176	61534	459947
177	61707	458300
178	62093	458245
179	62512	458425
180	62702	456933
181	63042	456536
182	63387	456184
183	63638	455150
184	64040	455203
185	64376	454786
186	64527	453072
187	64845	452538
188	65217	452382
189	65450	451266
